+++++++++++++++++++++++++++++++++++++++++++++++++++++++
E1
+++++++++++++++++++++++++++++++++++++++++++++++++++++++

ORG
                 term  count
12953              de  55566
25021   international   9162
1533               al   9148
30486              la   8608
38669              of   8530
24993   internacional   6508
13652              di   6063
13458             des   4951
13103             del   4805
238                 a   4756
56015           union   4648
18906             for   4565
23687               i   4548
12595              da   4434
18670       flughafen   4277
25025  internationale   3972
897          aeroport   3906
53740             the   3666
19759          futbol   3330
14885               e   3260
5292             bank   3124
1336          airport   3046
2460              and   2898
56779             van   2887
31584            liga   2883


LOC
             term   count
455680         de  347344
527330          e  262745
1632374     river  229098
68811          al  179637
536773         el  152719
416207      creek  136131
2157024        ye  120563
1630506       rio  103808
788750          i   98330
817162     island   93810
1710135    school   93227
1081835      lake   89365
391705     church   88916
1074505        la   88027
472922         di   87359
1681751       san   82388
177467        ban   81555
1669367     saint   76828
50451        afon   72936
39247     abhainn   64622
1426536        of   58487
1046225       kuh   56204
408046    condado   53914
2095156      wadi   51680
338407   cemetery   46338

PER
         term   count
93997      de  416785
10917      al  282029
172344      i  208954
174214     ii  188827
290379     of  141040
412031    van  100200
98327      di   94602
30897      av   90735
174237    iii   90389
113000     el   66047
420443    von   66025
248934  maria   65325
172351     i.   61194
179425     iv   55126
300066   papa   49869
174218    ii.   49555
222788     la   48300
6491       af   45381
92776    dari   39743
1016        a   39670
187423   john   37459
410402      v   36154
90293      da   35350
288629      o   35184
436008      z   32133

+++++++++++++++++++++++++++++++++++++++++++++++++++++++
E2
+++++++++++++++++++++++++++++++++++++++++++++++++++++++
ORG
                 term  count
12365              de  48021
1444               al   8658
23861   international   7888
36972              of   7620
29107              la   6843
23834   internacional   5674
13034              di   5414
53642           union   4295
12506             del   4188
12848             des   4188
18018             for   3968
22635               i   3950
224                 a   3937
12029              da   3855
17793       flughafen   3690
23865  internationale   3499
844          aeroport   3362
18841          futbol   3100
51481             the   3018
5045             bank   2917
30160            liga   2807
14205               e   2799
1256          airport   2626
54369             van   2527
2339              and   2507
847         aeroporto   2486
3656      association   2446
34494         mundial   2224
56909               y   2218
18012        football   2213
57266              za   2213
12728             den   2199
34861        nacional   2197
35179        national   2175
37678    organisation   2162
38756           paris   2103
20423           group   2072
10149          comite   2042
16998      federation   2042
13975              du   2000

LOC
              term   count
424674          de  257644
494861           e  196810
47324           al  161398
1576251      river  143672
504028          el  142120
386304       creek  122664
778110      island   86265
2089835         ye   85895
1038825       lake   81888
1652385     school   77802
750310           i   77530
153581         ban   76715
362715      church   73911
1574457        rio   71645
441615          di   65099
1612454      saint   64164
1624640        san   62861
1031638         la   62556
378490     condado   53276
2030088       wadi   50541
1003798        kuh   49007
310380    cemetery   42483
1432847       park   40869
176489         bay   38466
1482008      point   35140
628479        gora   34090
683728         han   32737
72956           an   32034
428770         del   31644
1374939         of   31058
463662        dong   28719
1010005        kun   28276
1531335       quan   28208
1251259      mount   28043
1190909      megye   27711
719399          ho   27180
378125       comte   27072
1683975       shan   26744
968645   konderria   26528
734181    hrabstwo   26475

PER
             term   count
9157           al  195398
10334   aleksandr   22130
2921          abu   21763
42609         bin   18266
11174         ali   17460
360513     viktor   17423
146153        ibn   16001
229170   mohammed   15575
94994          el   15406
362409   vladimir   15302
10733   alexander   14388
233546    muammar   12942
213699      maria   12543
145639          i   12378
224937    mikhail   12235
156103       jean   12001
6870        ahmed   11731
229119    mohamed   11343
159031       john   11037
223659    michail   10494
159751       jose   10064
229137   mohammad    9923
151854       ivan    9865
1701        abdul    9779
208330     mahmud    9189
234102   muhammad    9160
160343        jr.    9112
16899        anna    8988
6762        ahmad    8953
244609    nikolai    8825
1234        abdel    8769
244629    nikolaj    8710
38071         ben    8683
305288     sergej    8677
305279     sergei    7953
84805      dmitri    7457
208320    mahmoud    7433
368750    william    7052
2608         abou    6625
47718       boris    6517
