length|count
0|1
1|29
2|1394
3|15091
4|80876
5|215951
6|334445
7|404212
8|446204
9|451567
10|458658
11|438835
12|402718
13|361868
14|318644
15|273636
16|230233
17|190014
18|154972
19|122689
20|97640
21|78294
22|61794
23|50152
24|41191
25|35345
26|30337
27|26145
28|22613
29|19373
30|16298
31|13780
32|12029
33|10140
34|9001
35|7773
36|6961
37|6308
38|5313
39|4440
40|3727
41|3086
42|2887
43|2444
44|2242
45|2049
46|2179
47|1454
48|1194
49|1105
50|962
51|843
52|745
53|685
54|608
55|598
56|470
57|428
58|346
59|333
60|262
61|232
62|220
63|257
64|183
65|185
66|159
67|138
68|172
69|100
70|103
71|88
72|78
73|63
74|95
75|70
76|73
77|59
78|49
79|57
80|37
81|41
82|37
83|34
84|29
85|42
86|19
87|13
88|25
89|19
90|23
91|20
92|20
93|16
94|7
95|15
96|7
97|15
98|5
99|17
100|5
101|2
102|3
103|6
104|1
105|2
106|4
107|3
108|7
109|3
110|3
111|7
112|5
113|1
115|2
116|1
118|1
119|1
122|1
136|1
147|1
150|1
188|1
193|1
