geonameid|lang|name|count|length
290557||Al Imarat al 'Arabiyah al Muttahidah|1|36
290557||Dawlat Ittihad al Imarat al 'Arabiyah|1|37
290557||Arab Gulf Federation|1|20
290557||Arab Federation of Gulf States|1|30
290557||Federation of Arabian Gulf Emirates|1|35
290557||Federation of Arabian Emirates|1|30
290557||Union of Arab Emirates|1|22
290557||Federation of Arab Emirates|1|27
290557|af|Verenigde Arabiese Emirate|1|26
290557|ca|Unio dels Emirats Arabs|1|23
290557|cs|Spojene arabske emiraty|1|23
290557|cy|Emiraethau Arabaidd Unedig|1|26
290557|da|Forenede Arabiske Emirater|1|26
290557|de|Vereinigte Arabische Emirate|1|28
290557|en|United Arab Emirates|1|20
290557|eo|Unuigintaj Arabaj Emirlandos|1|28
290557|es|Emiratos Arabes Unidos|1|22
290557|et|Araabia Uhendemiraadid|1|22
290557|eu|Arabiar Emirrerri Batuak|1|24
290557|fi|Arabiemiirikunnat|1|17
290557|fo|Sameindu Emirrikini|1|19
290557|fr|Emirats Arabes Unis|1|19
290557|ga|Aontas na nEimiriochtai Arabacha|1|32
290557|hr|Ujedinjeni Arapski Emirati|1|26
290557|hu|Egyesult Arab Emiratus|1|22
290557|id|Uni Emirat Arab|1|15
290557|is|Sameinudu arabisku furstadaemin|1|31
290557|it|Emirati Arabi Uniti|1|19
290557|lt|Jungtiniai Arabu Emyratai|1|25
290557|lv|Apvienotie Arabu Emirati|1|24
290557|ms|Emiriah Arab Bersatu|1|20
290557|mt|Emirati Gharab Maqghuda|1|23
290557|nl|Verenigde Arabische Emiraten|1|28
290557|pl|Zjednoczone Emiraty Arabskie|1|28
290557|pt|Emirados Arabes Unidos|1|22
290557|ro|Emiratele Arabe Unite|1|21
290557|sk|Spojene arabske emiraty|1|23
290557|sl|Zdruzeni arabski emirati|1|24
290557|so|Imaaraadka Carabta ee Midoobay|1|30
290557|sq|Emiratet Arabe te Bashkuara|1|27
290557|sv|Forenade Arabemiraten|1|21
290557|sw|Muugano wa Falme za Nchi za Kiarabu|1|35
290557|tr|Birlesik Arap Emirlikleri|1|25
290557|vi|Cac Tieu Vuong quoc A-rap Thong nhat|1|36
290557|an|Emiratos Arabes Unitos|1|22
290557|br|Emirelezhiou Arab Unanet|1|24
290557|bs|Ujedinjeni Arapski Emirati|1|26
290557|ca|Emirats Arabs Units|1|19
