lang|count
aa|18
aat|8
ab|1
abbr|313
ace|181
act|1
af|1123
aht|1
ain|1
ak|228
akk|4
akl|3
alb|31
ale|102
als|1030
am|28
an|2121
ang|328
ar|7306
ar-LY|2
arc|2
ard|1
arn|10
as|1
ast|542
av|5
axm|1
ay|229
az|6855
ba|1
baq|20
bar|442
bat|3
bcl|77
be|1654
ber|7
bg|2944
bi|34
bik|5
bjn|25
bkd|1
bm|892
bn|5664
bo|6990
boa|1
br|3532
bs|1058
btw|2
bug|10
bur|2
ca|12634
cab|1
cai|2
cal|3
cbk|11
cbw|1
cdo|262
ce|557
ceb|794
cel|1
ch|22
chi|3
chk|1
cho|2
chp|2
chr|1
chy|19
cmn|3
cnr|2
cnx|1
co|406
coa|1
cpe|2
cr|2
crh|285
cs|3835
csb|366
cuk|4
cv|1
cwd|1
cy|1109
cyo|1
cze|1
da|3602
de|27024
den|2
dgr|2
din|1
diq|202
doi|1
drt|1
dsb|390
dum|4
dut|5
dv|20
dz|2
ee|257
efi|1
egl|1
egy|4
el|12390
en|416419
en-GB|1
en-IN|1
en-RU|1
enm|3
enn|1
eo|8172
es|113272
es-CL|1
esu|1
et|4229
ett|8
eu|7723
ext|162
fa|89452
faac|154
fan|1
ff|241
fi|15721
fia|1
fil|17454
fit|156
fiu|1
fj|8532
fkv|1421
fo|546
fr|37868
fr-CH|1
fr-FR|1
fr_1793|3087
fre|1
frk|8
fro|3
frp|610
frq|1
frr|171
frs|8
fur|412
fy|1231
ga|3853
gaa|1
gag|70
gcf|2
gd|1094
gem|1
geoid|939
ger|27
gl|1909
gmh|24
gml|191
gn|101
goh|20
gos|3
grc|94
gre|3
gsw|14
guc|1
gv|444
gwi|1
gym|2
ha|272
hak|393
haw|1947
hay|1
hbo|1
hbs|2332
he|4759
hi|9
hif|24
hil|13
hit|1
ho|1
hr|4181
hsb|1100
ht|614
hu|7280
hy|1994
hz|1
ia|358
icao|162
ice|4
id|56292
ie|51
ig|288
ik|30
ilo|260
ilp|1
io|859
is|1652
ist|2
it|23293
iu|3
ivv|1
izh|1
ja|272
jbn|43
jbo|85
jut|2
jv|628
ka|3268
kaa|100
kab|94
kbp|2
kcg|1
kck|1
kg|46
ki|230
kj|2
kk|8908
kl|441
km|8693
kn|12
ko|6928
kok|5
kos|14
kr|2
krj|1
krl|137
ks|7
ksh|92
ku|9256
kv|1
kw|661
ky|553
kyq|1
la|9356
lad|210
lauc|21654
lb|1301
lbe|1
lg|230
li|548
lij|330
lik|3
liv|1
lld|2
lmo|1169
ln|314
lng|2
lo|2189
lot|1
lt|9038
ltg|44
lu|224
lv|5124
mao|12
mas|2
may|1
mdf|3
mdh|5
meo|25
mfa|22
mg|328
mga|1
mh|16
mi|136
mic|1
min|26
mix|16
mk|1708
ml|10
mn|858
mnc|1
mr|2
mrw|2
ms|13662
msb|2
mt|508
mus|3
mwl|84
my|7154
myn|2
na|200
nah|345
nap|2222
nb|775
nd|224
nds|1532
nds-NL|1
ne|1483
ng|2
nik|3
niu|6
njo|1
nl|11704
nl-BE|1
nn|2942
no|148780
non|16
nov|92
nr|2
nrf|5
nrm|165
nso|7
nuts|573
nv|66
ny|3
oc|8390
ofs|5
ohu|7
oj|5
olo|147
om|40
onj|2
orh|2
os|2
osc|1
osx|247
ota|4
otk|2
pag|29
pal|1
pam|339
pap|51
pau|16
pcd|1019
pdc|104
peo|4
pfl|541
phi|1
phn|2
phon|46
pi|1
pih|51
piny|11
pl|16117
plq|1
pms|1743
pnb|1
pny|171
pon|4
pos|1
pox|4
ppl|1
prg|2
ps|52
pt|18185
pt-BR|4
qu|827
rad|1
rar|32
rgn|32
rm|634
rmy|41
rn|269
ro|9401
roa|4
rol|1
rom|6
ru|14135
rue|46
rum|1
rup|23
ruq|4
rw|132
ryn|1
rys|1
ryu|8
sa|7
sah|1
sal|1
sc|283
scn|1381
sco|574
sd|2
sdc|1
se|22272
sg|240
sgd|3
sgs|416
shs|1
si|13
siz|1
sju|489
sk|3435
sl|1537
sli|1
slo|1
sm|20
sma|1190
smg|2
smi|1
smj|2261
smn|1014
sms|180
sn|230
so|3371
sog|1
sov|6
sq|6197
sr|6280
srb|1
srn|12
srr|1
ss|39
ssb|2
st|19
stl|17
stq|85
su|175
sux|3
sv|11228
sw|791
swb|8
sxu|2
syc|3
syl|1
syr|2
sze|1
szl|261
ta|20
tai|1
tcb|1
tcid|87
tcy|1
tet|150
tg|465
th|1139
ti|32
tib|1
tiw|1
tk|581
tkl|2
tl|1014
tlg|2
tli|2
tn|9
to|216
tox|4
tpi|100
tr|14995
ts|9
tsg|3
tt|86
tum|11
tvl|1
tw|14
twd|1
txh|1
ty|64
tzm|2
udm|1
ug|1248
uicn|910
uk|33140
ulk|2
ur|104
uz|3924
ve|10
vec|518
vel|1
vep|614
vi|16625
vls|279
vo|620
vot|1
vro|3
wa|277
wae|1
war|4853
wel|4
wen|7
wep|1
wo|327
xal|1
xbg|1
xbm|1
xcb|1
xdc|4
xh|36
xhu|1
xld|1
xpc|1
xpg|1
xpi|1
xpu|1
xug|1
yi|16
yka|1
yo|413
ypk|6
yue|2
za|67
zea|72
zh|42473
zlm|1
zu|294
zza|2
