length|count
2|3
3|26221
4|82893
5|208274
6|348235
7|458928
8|528412
9|544649
10|550527
11|532943
12|490109
13|433550
14|371958
15|315132
16|262445
17|215169
18|174137
19|136735
20|108802
21|86933
22|69276
23|56217
24|44476
25|36269
26|30800
27|24859
28|20169
29|16443
30|13603
31|10622
32|8673
33|6539
34|5406
35|4277
36|3560
37|2801
38|2490
39|2127
40|1721
41|1325
42|1183
43|1039
44|891
45|709
46|741
47|643
48|528
49|407
50|351
51|296
52|256
53|209
54|176
55|161
56|183
57|166
58|111
59|164
60|89
61|97
62|108
63|90
64|78
65|86
66|77
67|56
68|69
69|57
70|38
71|25
72|27
73|40
74|27
75|35
76|28
77|23
78|13
79|13
80|22
81|26
82|31
83|14
84|24
85|15
86|17
87|14
88|6
89|10
90|21
91|6
92|7
93|8
94|5
95|15
96|4
97|5
98|8
99|10
100|5
101|7
102|6
103|2
105|2
106|2
107|1
108|3
111|6
112|7
113|3
114|4
116|2
117|5
119|1
120|3
133|3
134|1
136|2
188|1
