length|count
2|317
3|1198
4|1012
5|790
6|981
7|2168
8|7543
9|12146
10|21177
11|30996
12|35404
13|46619
14|52910
15|51627
16|41928
17|43434
18|44699
19|40683
20|35455
21|32778
22|28025
23|27338
24|25795
25|21504
26|23971
27|22858
28|23072
29|21040
30|17973
31|20052
32|19773
33|20427
34|17375
35|17323
36|13195
37|14018
38|11175
39|11391
40|11777
41|10519
42|9426
43|7111
44|6221
45|5263
46|5747
47|4686
48|4203
49|3625
50|2619
51|3382
52|2028
53|2144
54|1735
55|1592
56|1049
57|1640
58|1067
59|564
60|345
61|316
62|777
63|740
64|840
65|597
66|210
67|422
68|51
69|50
70|64
71|101
72|250
73|120
74|79
75|41
76|21
77|104
79|83
80|43
82|16
83|22
93|84
105|11
107|11
117|38
