length|count
0|1
1|42
2|354
3|1825
4|6539
5|12642
6|17009
7|21984
8|29164
9|48256
10|81043
11|130244
12|174320
13|197611
14|208288
15|198214
16|177772
17|156902
18|134123
19|121344
20|107219
21|92362
22|80986
23|68040
24|58257
25|50831
26|42911
27|37333
28|32569
29|28227
30|24330
31|20843
32|18293
33|15083
34|13379
35|11587
36|10177
37|7958
38|6876
39|5890
40|4937
41|3683
42|3115
43|2778
44|2225
45|2052
46|1623
47|1226
48|946
49|900
50|822
51|671
52|538
53|432
54|344
55|296
56|308
57|208
58|231
59|155
60|119
61|117
62|128
63|82
64|85
65|79
66|49
67|59
68|45
69|39
70|26
71|29
72|21
73|20
74|9
75|15
76|16
77|5
78|15
79|7
80|17
81|11
82|5
83|17
84|2
85|10
86|2
87|12
88|7
89|1
90|2
91|3
92|11
93|1
94|2
95|6
96|2
97|1
98|4
99|1
100|1
102|1
108|3
110|1
112|1
116|1
120|1
155|1
178|1
242|1
8695|1
35588|1
48961|1
58090|1
59197|1
73011|1
80979|1
99751|1
117408|1
118185|1
120374|1
182456|1
579814|1
