id|count
Q100|16
Q100000|3
Q100001|2
Q100002|3
Q1000024|5
Q100003|2
Q100006|2
Q100007|16
Q1000115|2
Q1000133|2
Q1000143|7
Q1000166|5
Q1000169|3
Q100019|2
Q100022|2
Q100027|2
Q100032|2
Q100033|3
Q1000333|4
Q1000336|4
Q100034|2
Q1000341|5
Q1000346|6
Q1000367|3
Q100037|3
Q1000373|12
Q1000383|13
Q1000384|2
Q1000404|12
Q1000438|3
Q1000445|4
Q1000446|9
Q1000454|17
Q1000456|5
Q1000481|4
Q1000485|8
Q1000495|5
Q1000511|3
Q1000597|4
Q1000609|2
Q1000656|2
Q1000662|5
Q1000673|10
Q1000679|3
Q100068|2
Q1000685|3
Q1000715|5
Q1000717|3
Q1000740|3
Q1000787|3
Q1000839|2
Q1000844|17
Q1000852|17
Q1000871|6
Q1000881|2
Q1000883|19
Q1000887|4
Q1000893|6
Q1000900|4
Q1000938|3
Q1000978|4
Q100098|2
Q1000987|6
Q1000997|7
Q100102|3
Q1001030|2
Q1001056|3
Q1001064|2
Q1001092|9
Q1001104|6
Q100112|2
Q1001156|4
Q1001200|4
Q1001226|2
Q1001231|8
Q1001307|2
Q1001322|3
Q10014|10
Q1001440|21
Q1001465|2
Q1001478|8
Q1001496|2
Q1001517|2
Q1001522|2
Q1001525|4
Q1001529|4
Q1001533|10
Q1001541|4
Q1001544|7
Q1001552|9
Q1001563|4
Q1001571|2
Q1001578|5
Q1001581|7
Q1001590|9
Q1001642|3
Q1001646|4
Q1001758|6
Q1001768|3
Q1001775|2
Q1001810|2
Q1001816|2
Q1001817|4
Q1001844|3
Q1001857|6
Q100188|17
Q1001880|5
Q1001887|7
Q1001895|7
Q1001897|5
Q1001901|6
Q1001914|4
Q1001927|3
Q1001935|5
Q1001941|9
Q1001951|3
Q1001959|5
Q1001966|2
Q1001970|4
Q1001975|2
Q1001989|2
Q1001995|2
Q1002004|2
Q1002020|4
Q1002029|3
Q1002035|4
Q1002046|4
Q1002052|3
Q1002061|7
Q1002066|10
Q1002068|9
Q1002069|2
Q1002073|2
Q1002076|8
Q1002081|9
Q1002084|7
Q1002087|5
Q1002090|4
Q1002099|2
Q1002105|2
Q1002111|4
Q1002124|4
Q1002129|3
Q1002133|4
Q1002140|2
Q1002144|2
Q1002153|4
Q1002159|3
Q1002171|3
Q1002177|4
Q1002183|6
Q1002188|7
Q1002189|2
Q1002208|10
Q1002258|2
Q1002340|2
Q1002453|3
Q1002511|4
Q1002525|3
Q1002533|3
Q1002557|5
Q1002560|3
Q1002580|9
Q1002601|2
Q1002607|6
Q1002615|3
Q1002621|7
Q1002636|4
Q1002637|6
Q1002638|2
Q1002654|2
Q1002658|2
Q1002670|3
Q1002672|2
Q1002685|2
Q1002696|2
Q1002700|8
Q1002702|7
Q1002717|2
Q1002776|4
Q1002786|4
Q1002793|4
Q1002799|9
Q1002807|4
Q1002823|2
Q1002828|5
Q1002832|4
Q1002835|5
Q1002841|2
Q1002900|7
Q1002934|3
Q1002944|4
Q1002960|4
Q1002974|2
Q1003016|7
Q1003105|3
Q1003112|3
Q1003178|5
Q1003182|3
Q1003187|5
Q1003264|2
Q1003267|2
Q1003272|4
Q1003276|2
Q1003279|4
Q1003282|3
Q1003283|3
Q1003286|5
