lang|count
aa|2
ace|190
aeb-arab|1
aeb-latn|2
af|2035
ak|107
aln|2
als|5
am|2
ami|24
an|786
ang|384
ar|10
arn|12
ast|1796
atj|36
avk|441
ay|240
az|12702
ban|275
bar|733
bbc-latn|2
bcl|127
bg|3
bi|42
bjn|67
bm|74
bn|9
bpy|1
br|2300
brh|24
bs|2190
bto|1
bug|26
ca|15182
cbk-zam|67
cdo|397
ceb|46877
ch|28
cho|2
chy|42
ckb|1
co|454
cps|1
cr|4
crh|2298
crh-cyrl|1
crh-latn|655
cs|9011
csb|247
cv|1
cy|30478
da|3455
dag|39
de|25662
de-at|372
de-ch|1672
din|18
diq|1043
dsb|205
dtp|3
dv|1
ee|10
egl|1
el|11
eml|125
en|165281
en-ca|1545
en-gb|1205
eo|7145
es|20501
es-419|15
es-formal|21
et|4136
eu|6496
ext|165
fa|6
ff|25
fi|6363
fit|7
fj|45
fkv|31
fo|209
fr|30151
frc|77
frp|328
frr|569
fur|238
fy|1277
ga|27020
gag|139
gan-hans|3
gan-hant|2
gcr|43
gd|2385
gl|2683
gn|252
gom|22
gom-latn|14
gor|68
got|1
gsw|786
gu|3
guc|1
gv|364
ha|444
hak|451
haw|198
he|4
hi|61
hif|125
hif-latn|2
hil|9
ho|3
hr|4559
hrx|2
hsb|1648
ht|1349
hu|7970
hy|8
hz|2
ia|342
id|3865
ie|255
ig|22
ik|21
ike-latn|4
ilo|394
io|490
is|931
it|17905
iu|1
ja|6
jam|123
jbo|69
jv|838
ka|7
kaa|206
kab|342
kbp|147
kcg|1
kea|11
kg|319
ki|208
kj|2
kk|1
kk-latn|1880
kk-tr|283
kl|210
km|1
kn|5
ko|4
kr|2
krj|3
krl|2
ksh|93
ku|4730
ku-arab|1
ku-latn|818
kw|611
la|4552
lad|263
lb|1128
lfn|171
lg|64
li|533
lij|310
liv|3
lld|54
lmo|728
ln|130
lo|2
lt|15933
ltg|43
lv|7568
lzz|1
mad|8
map-bms|90
mg|892
mh|2
mi|441
min|379
mk|10
ml|9
mo|215
mr|5
ms|7974
mt|115
mus|2
mwl|96
my|2
myv|2
na|59
nah|385
nap|210
nb|12833
nds|1026
nds-nl|535
ne|2
ng|2
nia|6
nl|25167
nn|14307
nov|94
nrm|209
nso|362
nv|89
ny|204
nys|1
oc|1452
olo|269
om|39
or|15
pag|11
pam|159
pap|128
pcd|210
pdc|62
pdt|1
pfl|59
pi|2
pih|87
pl|23586
pms|562
prg|43
ps|3
pt|14777
pt-br|1635
pwn|6
qu|1486
qug|6
rgn|41
rm|406
rmf|11
rmy|37
rn|24
ro|13135
roa-tara|84
ru|17
rup|235
ruq-latn|2
rw|209
sa|7
sc|508
scn|591
sco|1262
sdc|145
se|370
sei|2
sg|28
sgs|1010
sh|6185
shi|108
shi-latn|2
shy|1
shy-latn|9
si|11
simple|14
sje|10
sju|7
sk|2720
sl|3823
sli|1
sm|189
sma|69
smj|60
smn|138
sms|30
sn|43
so|276
sq|8243
sr|355
sr-ec|1
sr-el|3291
srn|33
ss|18
st|88
stq|155
su|270
sv|34007
sw|2215
szl|983
szy|39
ta|16
tay|7
te|14
tet|68
tg-cyrl|1
tg-latn|324
th|2
tk|373
tl|967
tn|100
to|30
tpi|50
tr|10822
trv|3
ts|13
tt|46
tt-latn|42
tum|10
tw|56
ty|58
ug|158
ug-latn|13
uk|5
ur|6
uz|1943
uz-latn|1
ve|37
vec|15846
vep|1484
vi|8742
vls|305
vmf|62
vo|534
vot|2
vro|157
wa|432
war|1442
wo|255
wuu|2
xh|62
xmf|1
xsy|5
yo|200
yue|12
za|94
zea|221
zh|13
zh-cn|1
zh-hans|2
zh-hant|5
zh-my|1
zh-tw|1
zu|1240
