length|count
1|10
2|392
3|2460
4|4811
5|5417
6|5820
7|5355
8|5171
9|5217
10|4610
11|4876
12|5039
13|5066
14|6091
15|5590
16|5127
17|5023
18|4605
19|4500
20|4569
21|4095
22|3994
23|3982
24|3874
25|3749
26|3589
27|3418
28|3597
29|3275
30|3323
31|2915
32|2877
33|2549
34|2468
35|2276
36|2177
37|1838
38|1774
39|1723
40|1567
41|1437
42|1402
43|1203
44|1138
45|1044
46|923
47|974
48|793
49|784
50|648
51|642
52|545
53|508
54|465
55|421
56|398
57|347
58|352
59|303
60|274
61|277
62|236
63|206
64|166
65|184
66|146
67|140
68|106
69|93
70|84
71|70
72|85
73|67
74|73
75|62
76|42
77|53
78|52
79|39
80|34
81|24
82|51
83|23
84|27
85|18
86|30
87|9
88|16
89|10
90|10
91|9
92|10
93|9
94|15
95|6
96|5
97|5
98|6
99|8
100|2
101|7
102|4
103|10
104|7
105|1
106|3
107|2
108|4
110|4
111|2
112|2
114|2
116|1
117|2
119|3
120|3
123|3
125|1
127|1
128|1
130|1
138|1
161|2
198|1
