lang|count
aa|13
ace|13
aeb|1
aeb-arab|1
aeb-latn|9
af|378
ak|25
aln|3
als|1
am|1
an|140
ang|25
anp|2
ar|31
arn|5
ary|3
arz|1
as|1
ast|723
atj|1
ay|16
az|855
azb|1
ba|11
ban|15
bar|166
bas|1
bbc-latn|9
bcl|48
be|99
be-tarask|59
bg|138
bi|16
bjn|17
bm|27
bn|6
br|230
brh|4
bs|258
bug|9
bxr|1
ca|3521
cbk-zam|16
cdo|25
ce|3
ceb|92
ch|13
cho|12
chr|3
chy|12
co|102
cr|12
crh|16
crh-latn|19
cs|2155
csb|24
cv|10
cy|759
da|1789
dag|7
de|9729
de-at|196
de-ch|474
de-formal|1
din|7
diq|71
dsb|17
dtp|5
ee|4
egl|1
el|308
eml|22
en|54555
en-ca|388
en-gb|477
eo|2500
es|8204
es-419|10
es-formal|1
et|1120
eu|757
ext|22
fa|30
ff|13
fi|2720
fit|4
fj|16
fo|87
fr|13772
frc|10
frp|51
frr|36
fur|42
fy|173
ga|374
gag|27
gan|6
gan-hans|4
gan-hant|5
gcr|6
gd|134
gl|716
gn|28
gom|1
gom-latn|10
gor|9
got|3
gsw|147
gu|14
gv|36
ha|188
hak|100
haw|13
he|275
hi|79
hif|21
hif-latn|12
hil|2
ho|12
hr|871
hrx|9
hsb|25
ht|35
hu|1688
hy|237
hyw|3
hz|12
ia|88
id|2459
ie|47
ig|21
ik|12
ike-latn|12
ilo|48
io|109
is|356
it|5536
iu|3
ja|615
jam|35
jbo|24
jv|172
ka|93
kaa|26
kab|49
kbd|1
kbp|11
kea|2
kg|32
ki|19
kj|12
kk|78
kk-arab|24
kk-cn|9
kk-cyrl|2
kk-kz|1
kk-latn|114
kk-tr|39
kl|59
km|6
kn|13
ko|183
kr|12
krj|3
ksh|27
ku|109
ku-arab|1
ku-latn|40
kw|35
ky|21
la|337
lad|42
lb|286
lfn|36
lg|13
li|71
lij|47
liv|9
lld|5
lmo|90
ln|43
lo|3
loz|3
lt|841
ltg|12
lus|3
lv|623
lzh|1
lzz|3
mad|1
map-bms|21
mg|55
mh|9
mhr|1
mi|66
min|58
mk|49
ml|7
mn|16
mo|4
mr|8
ms|1278
mt|79
mus|12
mwl|39
my|17
myv|10
na|12
nah|27
nap|50
nb|2672
nds|126
nds-nl|45
ne|2
new|1
ng|12
nl|5014
nn|731
nod|1
nov|15
nrm|84
nso|13
nv|12
ny|16
nys|1
oc|292
olo|10
om|12
os|1
pag|18
pam|26
pap|28
pcd|46
pdc|14
pdt|3
pfl|18
pi|11
pih|14
pl|3751
pms|112
pnt|1
prg|18
ps|1
pt|4367
pt-br|719
qu|49
qug|3
rgn|18
rif|3
rm|62
rmf|1
rmy|21
rn|12
ro|1595
roa-tara|18
ru|2124
rue|3
rup|8
ruq-latn|12
rw|40
sa|4
sah|77
sat|3
sc|86
scn|95
sco|183
sdc|3
se|127
sei|4
sg|12
sgs|56
sh|479
shi|11
shi-latn|12
si|14
simple|1
sje|1
sju|1
sk|818
sl|592
sli|3
sm|17
sma|15
smj|13
smn|47
sms|16
sn|17
so|105
sq|423
sr|209
sr-ec|6
sr-el|385
srn|13
ss|14
st|15
stq|19
sty|1
su|86
sv|3685
sw|257
szl|32
szy|1
ta|19
tay|1
te|27
tet|15
tg|25
tg-cyrl|2
tg-latn|26
th|22
tk|33
tl|287
tn|22
to|12
tpi|13
tr|2596
tru|3
ts|17
tt|61
tt-cyrl|24
tt-latn|13
tum|12
tw|12
ty|71
ug|2
ug-latn|13
uk|976
ur|15
uz|182
ve|13
vec|314
vep|26
vi|1728
vls|59
vmf|24
vo|37
vot|12
vro|21
wa|57
war|44
wo|35
wuu|14
xh|17
xmf|13
yi|2
yo|43
yue|59
za|17
zea|26
zh|458
zh-cn|52
zh-hans|151
zh-hant|154
zh-hk|134
zh-mo|1
zh-my|2
zh-sg|22
zh-tw|45
zu|48
